n_bins,strategy,method,initial_mi,mean_mi,std_mi,min_mi,max_mi,n_runs,mean_improvement
140,quantile,averaged_inverted_cdf,0.037724889919106275,0.04578157542626286,0.006679057581029031,0.03233441600393472,0.05571098661642093,10,0.008056685507156588
140,quantile,closest_observation,0.037724889919106275,0.05232768044179394,0.005740652045104193,0.04331929437163873,0.060763230778367205,10,0.014602790522687668
140,quantile,interpolated_inverted_cdf,0.037724889919106275,0.04861242869570352,0.00671656068149973,0.03764675416417562,0.05837099463863904,10,0.010887538776597247
140,quantile,hazen,0.037724889919106275,0.03915245917253687,0.0062322337967537274,0.02651147795850428,0.047666448980410836,10,0.0014275692534305925
140,quantile,weibull,0.037724889919106275,0.03424187904438245,0.005854124133572374,0.024299315169743263,0.0447967095007642,10,-0.003483010874723823
140,quantile,linear,0.037724889919106275,0.045093041439838236,0.008179342970045326,0.03356193691898324,0.055911357226340996,10,0.007368151520731961
140,quantile,median_unbiased,0.037724889919106275,0.03927401844911014,0.004817791178389112,0.032231675185401265,0.04526205846272502,10,0.001549128530003864
140,quantile,normal_unbiased,0.037724889919106275,0.03729800899596887,0.0043896310325239754,0.0304467035060636,0.04370054290473058,10,-0.00042688092313740433
140,kmeans,N/A,0.037724889919106275,0.032138836016091646,0.012479206939136999,0.010894768986668524,0.059104444585135196,10,-0.005586053903014629
160,uniform,N/A,0.037724889919106275,0.03521612366484472,0.018320013593409606,0.01615591524276394,0.07940489297720044,10,-0.002508766254261552
160,quantile,inverted_cdf,0.037724889919106275,0.035443783800168036,0.008350726460612985,0.025389866814721884,0.04912168566248987,10,-0.0022811061189382392
160,quantile,averaged_inverted_cdf,0.037724889919106275,0.036538166969815336,0.008243363858666555,0.025934803099094905,0.05059687608152008,10,-0.0011867229492909387
160,quantile,closest_observation,0.037724889919106275,0.040238456372765484,0.007457974826142611,0.030939603782108138,0.05654695967976564,10,0.0025135664536592092
160,quantile,interpolated_inverted_cdf,0.037724889919106275,0.035443783800168036,0.008350726460612985,0.025389866814721884,0.04912168566248987,10,-0.0022811061189382392
160,quantile,hazen,0.037724889919106275,0.05749639290811877,0.00414216545728482,0.04712432891495033,0.06266063342985628,10,0.019771502989012493
160,quantile,weibull,0.037724889919106275,0.038483013866644857,0.005080477753243761,0.028617172568041527,0.04628091403413648,10,0.0007581239475385818
160,quantile,linear,0.037724889919106275,0.04400258476182539,0.004873215691291522,0.03538703452144154,0.05204166780356023,10,0.006277694842719117
160,quantile,median_unbiased,0.037724889919106275,0.043900138257362185,0.006646507910822002,0.03174588169146886,0.054799321746050955,10,0.006175248338255911
